Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-16,311.55,313.5,306.05,308.35,307.4,407883.0,1262.6
2018-03-15,310.0,317.7,309.0,311.0,311.55,610713.0,1917.27
2018-03-14,308.0,314.9,306.2,311.65,311.6,498026.0,1549.51
2018-03-13,292.1,316.0,292.1,309.9,308.9,1134535.0,3477.59
2018-03-12,294.45,297.0,288.5,291.95,292.85,324692.0,950.41
2018-03-09,294.1,300.8,288.0,290.5,291.35,477049.0,1402.12
2018-03-08,300.0,301.85,283.3,291.0,291.6,609964.0,1787.14
2018-03-07,305.9,311.0,292.0,297.0,295.7,546553.0,1655.55
2018-03-06,310.95,317.95,302.1,302.95,305.25,408640.0,1269.12
2018-03-05,314.7,318.5,307.15,309.4,308.6,335543.0,1047.14
2018-03-01,317.25,325.5,313.35,315.7,314.75,338613.0,1082.31
2018-02-28,317.0,326.45,310.55,319.15,320.2,646029.0,2072.11
2018-02-27,325.9,327.5,317.0,319.5,319.45,417710.0,1343.11
2018-02-26,327.95,330.95,321.35,324.5,324.65,541811.0,1767.75
2018-02-23,322.5,331.5,320.0,324.1,325.1,835359.0,2719.16
2018-02-22,313.0,333.0,310.15,322.0,323.15,1630376.0,5298.61
2018-02-21,328.2,330.05,315.0,316.75,317.1,807132.0,2585.87
2018-02-20,299.8,337.8,292.0,325.75,327.9,4218589.0,13704.51
2018-02-19,309.1,310.45,290.8,298.35,297.6,505006.0,1508.22
2018-02-16,324.0,328.75,302.55,307.5,307.1,703771.0,2191.75
2018-02-15,333.9,339.8,316.6,323.5,323.4,917182.0,3001.59
2018-02-14,338.0,354.8,327.35,331.0,332.9,3420194.0,11716.35
2018-02-12,276.0,327.35,275.6,327.35,327.35,2353964.0,7313.99
2018-02-09,260.0,275.75,257.4,274.0,272.8,473802.0,1274.46
2018-02-08,258.0,277.0,251.0,267.85,268.15,741258.0,1996.13
2018-02-07,259.0,268.7,258.0,263.0,263.5,410467.0,1082.4
2018-02-06,258.8,262.7,246.65,253.65,253.75,821311.0,2092.83
2018-02-05,260.0,283.8,255.8,276.9,274.3,892945.0,2413.33
2018-02-02,288.0,288.0,265.2,271.7,271.85,872965.0,2393.9
2018-02-01,305.5,309.95,288.0,291.0,291.2,980041.0,2930.31
2018-01-31,320.0,321.4,300.9,304.1,304.95,590573.0,1834.81
2018-01-30,334.95,337.0,320.3,320.6,321.7,350110.0,1138.07
2018-01-29,348.35,352.6,333.0,334.2,334.95,291936.0,994.73
2018-01-25,353.0,356.0,345.95,348.35,348.55,200518.0,701.6
2018-01-24,357.8,366.4,347.6,352.0,352.75,587670.0,2101.36
2018-01-23,359.7,364.9,354.0,358.15,358.5,376752.0,1354.49
2018-01-22,346.5,361.0,343.8,356.8,357.5,391839.0,1381.46
2018-01-19,352.2,354.95,340.05,346.0,346.15,315861.0,1094.24
2018-01-18,369.2,373.35,345.0,351.5,351.95,435622.0,1575.08
2018-01-17,367.0,370.4,359.0,366.1,366.0,272730.0,996.17
2018-01-16,376.5,386.0,368.1,369.35,370.8,930680.0,3510.43
2018-01-15,375.75,376.7,369.0,371.6,372.1,247720.0,923.32
2018-01-12,374.55,382.75,371.3,373.3,373.5,753767.0,2844.87
2018-01-11,368.85,381.5,368.1,371.0,372.0,474495.0,1776.76
2018-01-10,373.7,373.7,365.0,367.7,368.0,281992.0,1039.03
2018-01-09,378.0,382.4,370.0,373.9,372.0,484457.0,1820.53
2018-01-08,363.0,386.0,361.9,376.0,375.15,1328548.0,5018.97
2018-01-05,361.0,367.1,358.3,360.7,361.05,270781.0,980.15
2018-01-04,363.0,364.5,356.05,357.4,358.2,236685.0,850.64
2018-01-03,364.0,366.95,357.5,361.0,361.2,268217.0,971.85
2018-01-02,368.6,368.6,360.0,362.2,362.25,178488.0,648.37
2018-01-01,366.6,374.0,362.3,368.5,365.35,289472.0,1066.74
2017-12-29,371.4,374.0,363.0,364.75,364.4,280993.0,1035.61
2017-12-28,370.95,376.45,366.65,368.0,368.2,332095.0,1234.06
2017-12-27,373.7,379.0,367.5,370.5,371.25,285896.0,1066.52
2017-12-26,376.65,377.7,370.0,372.0,372.0,245996.0,918.09
2017-12-22,378.1,381.0,373.1,374.75,375.25,259275.0,978.6
2017-12-21,379.8,383.8,376.3,377.9,377.65,359945.0,1366.55
